decision_date,signal_date,application_date,eligible_assets,bsv_floor,regime,acwi_power_mode,gld_phoenix_sleeve,turnover,ACWI,AGG,GLD,BSV
2012-01-06,2012-01-05,2012-01-09,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.25,0.3375,0.1875,0.2875,0.1875
2012-01-13,2012-01-12,2012-01-17,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.25,0.425,0.125,0.325,0.125
2012-01-20,2012-01-19,2012-01-23,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.25,0.5125,0.0625,0.36250000000000004,0.0625
2012-01-27,2012-01-26,2012-01-30,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.25,0.6,0.0,0.4,0.0
2012-02-03,2012-02-02,2012-02-06,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.0,0.6,0.0,0.4,0.0
2012-02-10,2012-02-09,2012-02-13,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.25,0.725,0.0,0.275,0.0
2012-02-17,2012-02-16,2012-02-21,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.15000000000000013,0.8,0.0,0.19999999999999996,0.0
2012-02-24,2012-02-23,2012-02-27,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.20000000000000018,0.7,0.0,0.30000000000000004,0.0
2012-03-02,2012-03-01,2012-03-05,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.25,0.825,0.0,0.17500000000000004,0.0
2012-03-09,2012-03-08,2012-03-12,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.15000000000000013,0.9,0.0,0.09999999999999998,0.0
2012-03-16,2012-03-15,2012-03-19,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.0,0.9,0.0,0.09999999999999998,0.0
2012-03-23,2012-03-22,2012-03-26,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.0,0.9,0.0,0.09999999999999998,0.0
2012-03-30,2012-03-29,2012-04-02,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.0,0.9,0.0,0.09999999999999998,0.0
2012-04-06,2012-04-05,2012-04-09,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.0,0.9,0.0,0.09999999999999998,0.0
2012-04-13,2012-04-12,2012-04-16,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.0,0.9,0.0,0.09999999999999998,0.0
2012-04-20,2012-04-19,2012-04-23,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.0,0.9,0.0,0.09999999999999998,0.0
2012-04-27,2012-04-26,2012-04-30,"ACWI,GLD",0.0,contest-horizon equity-gold vote,False,False,0.0,0.9,0.0,0.09999999999999998,0.0
